"","V1"
"Accuracy",0.742243436754177
"Kappa",0.0280649503135828
"AccuracyLower",0.717116715541491
"AccuracyUpper",0.766231782405686
"AccuracyNull",0.747812251392204
"AccuracyPValue",0.688351715682734
"McnemarPValue",1.06521051022055e-55
"Sensitivity",0.978723404255319
"Specificity",0.0410094637223975
"Pos Pred Value",0.751633986928105
"Neg Pred Value",0.393939393939394
"Precision",0.751633986928105
"Recall",0.978723404255319
"F1",0.850277264325324
"Prevalence",0.747812251392204
"Detection Rate",0.731901352426412
"Detection Prevalence",0.973747016706444
"Balanced Accuracy",0.509866433988858
