"","V1"
"Accuracy",0.779809220985692
"Kappa",0.0085131082519107
"AccuracyLower",0.755873420798709
"AccuracyUpper",0.80242964054716
"AccuracyNull",0.824324324324324
"AccuracyPValue",0.99997627332434
"McnemarPValue",5.67616890857307e-15
"Sensitivity",0.929604628736741
"Specificity",0.0769230769230769
"Pos Pred Value",0.825342465753425
"Neg Pred Value",0.188888888888889
"Precision",0.825342465753425
"Recall",0.929604628736741
"F1",0.87437641723356
"Prevalence",0.824324324324324
"Detection Rate",0.766295707472178
"Detection Prevalence",0.92845786963434
"Balanced Accuracy",0.503263852829909
