"","V1"
"Accuracy",0.326069410815174
"Kappa",0.00520396124145052
"AccuracyLower",0.300002413161024
"AccuracyUpper",0.352964576341867
"AccuracyNull",0.979015334947538
"AccuracyPValue",1
"McnemarPValue",5.38652827696114e-178
"Sensitivity",0.316570486397362
"Specificity",0.769230769230769
"Pos Pred Value",0.984615384615385
"Neg Pred Value",0.0235571260306243
"Precision",0.984615384615385
"Recall",0.316570486397362
"F1",0.479101684341859
"Prevalence",0.979015334947538
"Detection Rate",0.309927360774818
"Detection Prevalence",0.314769975786925
"Balanced Accuracy",0.542900627814066
