"","descriptive_colnames","colheaders_raw","colheaders_processed","FieldID","instance","array","Path","Category","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"1","eid","eid","feid","eid",NA,NA,NA,NA,"Participant identifier ('eid')",NA,NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","sex_f31_0_0","31-0.0","f31_0_0","31","0","0","Population characteristics > Baseline characteristics","100094","Sex","502371","502371","Complete","Categorical single",NA,"Data","Primary","Unisex","1","1","9","Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31"
"3","date_of_attending_assessment_centre_f53_0_0","53-0.0","f53_0_0","53","0","0","Assessment centre > Recruitment > Reception","100024","Date of attending assessment centre","502371","593606","Complete","Date",NA,"Data","Primary","Unisex","4","1",NA,"Date when a participant attended a UK Biobank assessment centre.  Automatically acquired at Reception stage.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53"
"4","date_of_attending_assessment_centre_f53_1_0","53-1.0","f53_1_0","53","1","0","Assessment centre > Recruitment > Reception","100024","Date of attending assessment centre","502371","593606","Complete","Date",NA,"Data","Primary","Unisex","4","1",NA,"Date when a participant attended a UK Biobank assessment centre.  Automatically acquired at Reception stage.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53"
"5","current_tobacco_smoking_f1239_0_0","1239-0.0","f1239_0_0","1239","0","0","Assessment centre > Touchscreen > Lifestyle and environment > Smoking","100058","Current tobacco smoking","501500","592096","Complete","Categorical single",NA,"Data","Primary","Unisex","4","1","100347","ACE touchscreen question ""Do you smoke tobacco now?""","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1239"
"6","current_tobacco_smoking_f1239_1_0","1239-1.0","f1239_1_0","1239","1","0","Assessment centre > Touchscreen > Lifestyle and environment > Smoking","100058","Current tobacco smoking","501500","592096","Complete","Categorical single",NA,"Data","Primary","Unisex","4","1","100347","ACE touchscreen question ""Do you smoke tobacco now?""","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=1239"
"7","diabetes_diagnosed_by_doctor_f2443_0_0","2443-0.0","f2443_0_0","2443","0","0","Assessment centre > Touchscreen > Health and medical history > Medical conditions","100044","Diabetes diagnosed by doctor","501460","592056","Complete","Categorical single",NA,"Data","Primary","Unisex","4","1","100349","ACE touchscreen question ""Has a doctor ever told you that you have diabetes?"" If the participant activated the Help button they were shown the message:     If you are unsure if you have been told you had diabetes, select Do not know and you will be asked about this by an interviewer later during this visit.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2443"
"8","age_diabetes_diagnosed_f2976_0_0","2976-0.0","f2976_0_0","2976","0","0","Assessment centre > Touchscreen > Health and medical history > Medical conditions","100044","Age diabetes diagnosed","27670","30333","Complete","Integer","years","Data","Primary","Unisex","4","1","100291","ACE touchscreen question ""What was your age when the diabetes was first diagnosed?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 69 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      Field 2976 was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to Field 2443 and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to Field 2443","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2976"
"9","started_insulin_within_one_year_diagnosis_of_diabetes_f2986_0_0","2986-0.0","f2986_0_0","2986","0","0","Assessment centre > Touchscreen > Health and medical history > Medical conditions","100044","Started insulin within one year diagnosis of diabetes","27696","30360","Complete","Categorical single",NA,"Data","Primary","Unisex","4","1","100349","ACE touchscreen question ""Did you start insulin within one year of your diagnosis of diabetes?"" Field 2986 was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to Field 2443 and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to Field 2443","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=2986"
"10","systolic_blood_pressure_automated_reading_f4080_0_0","4080-0.0","f4080_0_0","4080","0","0","Assessment centre > Physical measures > Blood pressure","100011","Systolic blood pressure, automated reading","475725","1082300","Complete","Integer","mmHg","Data","Primary","Unisex","4","2",NA,"Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart.   Range returned by the Omron device is is 0-255","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4080"
