"","descriptive_colnames","colheaders_raw","colheaders_processed","FieldID","instance","array","Path","Category","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"1","eid","eid","feid","eid",NA,NA,NA,NA,"Participant identifier ('eid')",NA,NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","total_cholesterol_f23400_0_0","23400-0.0","f23400_0_0","23400","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Cholesterol from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23400"
"3","total_cholesterol_f23400_1_0","23400-1.0","f23400_1_0","23400","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Cholesterol from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23400"
"4","total_cholesterol_minus_hdl_c_f23401_0_0","23401-0.0","f23401_0_0","23401","0","0","Biological samples > Blood assays > NMR metabolomics","220","Total Cholesterol Minus HDL-C","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Cholesterol Minus HDL-C from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23401"
"5","total_cholesterol_minus_hdl_c_f23401_1_0","23401-1.0","f23401_1_0","23401","1","0","Biological samples > Blood assays > NMR metabolomics","220","Total Cholesterol Minus HDL-C","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Total Cholesterol Minus HDL-C from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23401"
"6","remnant_cholesterol_non_hdl_non_ldl_cholesterol_f23402_0_0","23402-0.0","f23402_0_0","23402","0","0","Biological samples > Blood assays > NMR metabolomics","220","Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol) from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23402"
"7","remnant_cholesterol_non_hdl_non_ldl_cholesterol_f23402_1_0","23402-1.0","f23402_1_0","23402","1","0","Biological samples > Blood assays > NMR metabolomics","220","Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol) from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23402"
"8","vldl_cholesterol_f23403_0_0","23403-0.0","f23403_0_0","23403","0","0","Biological samples > Blood assays > NMR metabolomics","220","VLDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"VLDL Cholesterol from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23403"
"9","vldl_cholesterol_f23403_1_0","23403-1.0","f23403_1_0","23403","1","0","Biological samples > Blood assays > NMR metabolomics","220","VLDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"VLDL Cholesterol from Nightingale Health Data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23403"
"10","clinical_ldl_cholesterol_f23404_0_0","23404-0.0","f23404_0_0","23404","0","0","Biological samples > Blood assays > NMR metabolomics","220","Clinical LDL Cholesterol","121716","123142","Accruing","Continuous","mmol/l","Data","Primary","Unisex","2","1",NA,"Clinical LDL Cholesterol from Nightingale Health data. Biomarker group: Cholesterol","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23404"
